Words Cnts:  6713                        Number of Occurrences: 87734
a                                        frequency:1781 
aaargh                                   frequency:1    
abandoned                                frequency:1    
abandoning                               frequency:1    
abashed                                  frequency:1    
abilities                                frequency:1    
abject                                   frequency:1    
ablaze                                   frequency:2    
able                                     frequency:31   
abnormality                              frequency:1    
about                                    frequency:189  
above                                    frequency:24   
abruptly                                 frequency:7    
absent                                   frequency:1    
absently                                 frequency:1    
absentmindedly                           frequency:1    
absolutely                               frequency:2    
absorbing                                frequency:1    
absurd                                   frequency:1    
abyssinian                               frequency:2    
accelerator                              frequency:4    
accept                                   frequency:1    
accepted                                 frequency:1    
accident                                 frequency:3    
accidentally                             frequency:5    
accidents                                frequency:1    
accompanied                              frequency:4    
accompanying                             frequency:1    
according                                frequency:2    
account                                  frequency:1    
accurate                                 frequency:1    
accusing                                 frequency:1    
achievement                              frequency:1    
aching                                   frequency:4    
acne                                     frequency:1    
acrid                                    frequency:1    
across                                   frequency:34   
act                                      frequency:6    
acted                                    frequency:1    
acting                                   frequency:4    
action                                   frequency:2    
activities                               frequency:2    
activity                                 frequency:2    
acts                                     frequency:1    
actual                                   frequency:1    
actually                                 frequency:4    
add                                      frequency:8    
added                                    frequency:22   
adding                                   frequency:2    
address                                  frequency:3    
addressed                                frequency:2    
addressing                               frequency:1    
admirable                                frequency:1    
admiring                                 frequency:1    
admit                                    frequency:4    
admitted                                 frequency:2    
ado                                      frequency:1    
adoration                                frequency:1    
adrian                                   frequency:2    
advanced                                 frequency:2    
adventure                                frequency:1    
adventures                               frequency:1    
advertisement                            frequency:1    
advice                                   frequency:3    
advise                                   frequency:2    
advised                                  frequency:1    
advising                                 frequency:2    
affect                                   frequency:1    
affectionate                             frequency:1    
afford                                   frequency:1    
affronted                                frequency:1    
afraid                                   frequency:2    
after                                    frequency:73   
aftermath                                frequency:1    
afternoon                                frequency:9    
afterward                                frequency:3    
again                                    frequency:113  
against                                  frequency:53   
age                                      frequency:4    
aged                                     frequency:4    
ages                                     frequency:2    
aggravated                               frequency:1    
aggravating                              frequency:1    
aggressively                             frequency:1    
aghast                                   frequency:2    
agitation                                frequency:1    
agleam                                   frequency:1    
aglow                                    frequency:1    
ago                                      frequency:21   
agonizing                                frequency:1    
agony                                    frequency:2    
agree                                    frequency:2    
agreed                                   frequency:5    
agreement                                frequency:1    
ah                                       frequency:22   
aha                                      frequency:1    
ahead                                    frequency:13   
aim                                      frequency:3    
aimed                                    frequency:1    
aiming                                   frequency:2    
air                                      frequency:33   
airborne                                 frequency:1    
airplanes                                frequency:1    
airy                                     frequency:1    
ajar                                     frequency:3    
alarm                                    frequency:2    
alarmed                                  frequency:2    
alarmingly                               frequency:1    
albania                                  frequency:1    
albus                                    frequency:7    
alert                                    frequency:2    
alicia                                   frequency:5    
alike                                    frequency:3    
alive                                    frequency:14   
all                                      frequency:375  
alley                                    frequency:15   
alleyway                                 frequency:2    
allow                                    frequency:2    
allowed                                  frequency:9    
almighty                                 frequency:2    
almost                                   frequency:41   
alone                                    frequency:26   
along                                    frequency:38   
alongside                                frequency:6    
aloud                                    frequency:6    
already                                  frequency:27   
also                                     frequency:21   
although                                 frequency:3    
altitude                                 frequency:1    
always                                   frequency:40   
am                                       frequency:16   
amazed                                   frequency:5    
amazement                                frequency:4    
amazing                                  frequency:5    
ambition                                 frequency:2    
ambitious                                frequency:1    
ambled                                   frequency:2    
american                                 frequency:1    
amid                                     frequency:1    
among                                    frequency:6    
amongst                                  frequency:1    
amount                                   frequency:3    
amounts                                  frequency:1    
amulets                                  frequency:2    
amused                                   frequency:1    
amusement                                frequency:1    
amusing                                  frequency:3    
an                                       frequency:186  
ancestor                                 frequency:1    
ancient                                  frequency:8    
and                                      frequency:2168 
angelina                                 frequency:3    
anger                                    frequency:6    
angle                                    frequency:2    
anglia                                   frequency:3    
angrily                                  frequency:14   
angry                                    frequency:14   
anguished                                frequency:1    
angus                                    frequency:1    
animal                                   frequency:1    
animals                                  frequency:1    
ankle                                    frequency:1    
ankles                                   frequency:8    
