材料编号	数量	订单1	订单2	订单3	订单4	订单5	订单6	订单7	订单8	订单9	订单10	订单11	订单12	订单13	订单14	订单15	余料面积
1	1	6	2	0	2	2	0	2	1	0	1	3	0	2	0	4	0
1	2	4	4	3	0	2	0	1	1	7	0	2	1	1	0	3	0
1	1	1	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	0	0	0	9	0	0	1	0	0	1	0	1	1	0	0	0
6	1	1	0	0	7	0	0	1	0	0	1	0	1	1	0	0	0
6	2	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2	4	1	0	1	0	0	3	3	3	0	6	2	1	0	0	0
8	3	0	0	4	0	2	0	2	0	0	0	0	2	2	1	0	0
8	1	0	0	4	0	2	0	0	0	0	2	3	0	0	0	0	0
9	2	3	0	2	0	0	1	0	2	1	0	1	0	0	0	4	0
10	2	2	0	1	0	2	1	0	5	0	0	2	1	2	0	0	0
5	1	0	0	0	0	0	8	3	8	9	16	2	8	2	2	10	0
1	1	0	1	4	3	0	26	1	0	9	20	4	0	3	17	0	0
